38.0827564,15.7441243,Africo N. -farmacia
37.9889051,15.888607,Amendolea
0,0,Anconi
38.2732607,16.1393495,Antonimina
38.1924105,16.157902,ARDORE
38.1757745,16.2050355,Ardore - stazione FS
38.2548981,16.1852512,Bagni Termali
38.1452507,16.1266095,Belloro
38.1680271,15.9973234,Benestare
38.0945026,16.1149913,BIANCO
38.0891203,16.1509872,Bianco -piazza FS
38.9153749,16.582933,bivio Arena
0,0,bivio Coop.Aspr
0,0,bivio Monasterace
0,0,bivio Mongiana
38.2195922,16.2289385,bivio Moschetta
38.226789,16.1982231,bivio Portigliola
38.2252663,16.0165234,bivio S.S. 112
0,0,bivio San Lorenzo
38.20009,16.0912613,bivio Senoli
37.9939666,16.0736355,bivio Staiti
0,0,Bosco S.P.
37.930808,15.9205263,Bova M. -piazza FS
38.1537086,16.1236239,BOVALINO
38.1492967,16.1781775,Bovalino M. - piazza FS
38.1489061,16.1756399,Bovalino p.zza Mercato
38.1470035,16.1653822,Bovalino S.S.106 (ristorante Orchidea)
38.1702342,16.1478138,Bovalino Sup.
37.9654747,16.101108,Brancaleone -piazza FS
38.0123446,16.0755633,Bruzzano Zeffirio
38.3356386,16.338707,Camocelli
38.175103,16.1243528,Canale
37.9245572,16.0602522,Capo Spartivento -SS106
38.0924499,16.0835371,Caraffa del B.
38.1829193,16.0204116,Careri
38.1009336,16.0853634,Casignana
38.4404901,16.2942123,Cassari
38.343928,16.4649401,Caulonia M - stazione FS
38.4545847,15.5512847,Ceravolo
38.372267,16.0029042,Cittanova
37.9277782,15.8727315,Condofuri M. -bivio stazione FS
37.9868509,15.8762282,Condofuri Superiore
38.5761573,16.3031993,Croceferrata
0,0,Cutrucchi
38.4738521,16.2555441,Fabrizia
38.0345043,16.1216199,Ferruzzano -bivio stazione FS
38.0388632,16.085524,Ferruzzano S.
46.3004426,11.3984656,Franceschella
38.2706453,16.2169189,Gerace
38.2706453,16.2169189,GERACE
38.2732518,16.2100807,Gerace (chiesa S. Francesco)
38.3317357,16.2984923,Gioiosa J. Galea
38.3317357,16.2984923,Gioiosa J. Madamalena
38.3317357,16.2984923,Gioiosa Jonica
38.3649139,16.2564104,Grotteria
38.3488635,16.3453354,Junchi
38.2071191,16.0580821,Lacchi
0,0,Limmara
38.2398029,16.2247846,LOCRI
38.2398029,16.2247846,Locri (tutte le fermate)
38.2348359,16.263049,Locri - piazza Martiri
38.23117,16.25422,Locri - piazza Tribunale Vecchio
38.2333379,16.2624349,Locri Stazione FS
38.3264475,16.2559571,Marina di Gioiosa J.
38.3536337,16.2699845,Martone
37.9215739,15.7795752,Melito P.S. -INPS
38.2536433,16.1957448,Merici
38.5146843,16.3106556,Mongiana
38.2188582,16.2115567,Moschetta
38.0259406,16.0451043,Motticella
38.474308,16.326068,Nardodipace
38.1863949,16.076724,Natile Nuovo
38.1897755,16.046872,Natile V.
37.9188873,15.9841738,Palizzi -piazza FS
38.0811598,16.1032465,Pardesca
38.3297913,16.307965,Petrara
38.4068507,16.0721478,Pizzurra
38.4239489,16.2999804,Placanica
38.2218188,16.0371493,Plati'
0,0,Portello
38.2268056,16.1938456,Portigliola
38.7674682,16.2306558,Pozzo
38.3567217,16.3322707,Prisdarello
38.1165848,15.6479807,Reggio Cal. Pineta Zerbi
38.1169913,15.6547156,Reggio Calabria -C. Portanova
38.120665,15.6474581,Reggio Calabria -Porto
38.1035843,15.3560836,Reggio Calabria -stazione FS
38.0728824,15.6469114,REGGIO CALABRIA AEROPORTO
38.32042,16.3597836,Roccella J.
38.4705624,15.8370026,Rosarno
38.1618826,16.1274138,Russellina
37.9256904,15.9438073,S. Pasquale -SS 106
37.9826431,15.7499077,Saline J.
38.0736367,16.0405997,Samo
37.9608542,15.8706228,San Carlo
38.3646553,16.2695424,San Giovanni di Gerace
38.1478994,16.0503082,San Luca
38.1431004,16.1585343,Sandrechi
38.0922287,16.0736905,Sant'Agata del B.
38.1990744,16.2072895,Sant'Ilario dello Jonio - Stazione FS
38.1570006,16.1216092,Scarparina
38.5724955,16.2901304,Serra San Bruno
38.2760006,16.2191395,SIDERNO
38.2691538,16.2857206,Siderno - piazza Municipio
38.2663883,16.2938849,Siderno - piazza Portosalvo
38.2743496,16.293772,Siderno piazza Ospedale
37.9243272,16.0379765,Spropoli -SS 106
37.9973816,16.0063605,Staiti 
38.4886728,15.9681722,Stazione F.S. Rosarno
38.3277228,16.2872323,Svincolo S.G.C. Gioiosa Ionica
38.3624124,16.2299568,Svincolo S.G.C. Mammola
38.7359226,16.1580344,Timpa B.
38.2793376,16.1609966,Tre Arie 